Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000354696592758407,0.0509167128985148,-0.00216482908207528,0,0,0,0.557304827590303,0.00246193712584463,-1.82360813179016E-06,-1.56220534472292E-06,0.00268884325216682,0.000482267737660755,0.00265779316409685,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,,臀部装配-1/骨盆架-1/股骨固定片-1;臀部装配-1/骨盆架-1/股骨固定片-2;臀部装配-1/骨盆架-1/股骨固定片-3;臀部装配-1/骨盆架-1/股骨固定片-4;臀部装配-1/骨盆架-1/股骨固定片-8;臀部装配-1/骨盆架-1/骨盆_无夹角-1;臀部装配-1/骨盆架-1/股骨固定片-7;臀部装配-1/骨盆架-1/股骨固定片-5;臀部装配-1/骨盆架-1/股骨固定片-6;臀部装配-1/基座装配-1/基座-1;臀部装配-1/arx臀部装配-11-27-1/arx臀部b-11-25-1;臀部装配-1/arx臀部装配-11-27-1/arx-肚子12-1-1;臀部装配-1/arx臀部装配-11-27-1/arx臀部-a-11-25-1;臀部装配-1/Mirror基座装配-2/Mirror基座-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_pitch_engine_link,-0.0132180319673854,-0.000409478998264526,-0.000337079988808422,0,0,0,0.00784384827917925,4.36590682410741E-06,-2.17338446163864E-08,3.13928980680945E-12,5.12008779916659E-06,2.54645518130558E-10,1.36310392622543E-06,0,0,0,0,0,0,package://robot_description/meshes/right_hip_pitch_engine_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_pitch_engine_link.STL,,臀部装配-1/基座装配-1/摇臂_内圈-1;臀部装配-1/基座装配-1/零件4^基座装配-2;臀部装配-1/基座装配-1/零件4^基座装配-4,right_hip_pitch_engine_joint,datum_axis3,right_hip_pitch_engine_joint,revolute,-0.084333,2.46E-05,0,0,0,0,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_hip_yaw_engine_link,-0.00975037082028439,0.000335610218016511,0.000145803243278274,0,0,0,0.00721229273746498,3.40368793351683E-06,-1.02845782049211E-10,6.11483129271824E-09,9.55584405344269E-07,-9.57299401352983E-11,3.82715081231712E-06,0,0,0,0,0,0,package://robot_description/meshes/right_hip_yaw_engine_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_yaw_engine_link.STL,,臀部装配-1/基座装配-1/摇臂_外圈-1;臀部装配-1/基座装配-1/零件4^基座装配-3;臀部装配-1/基座装配-1/零件4^基座装配-1,right_hip_yaw_engine_joint,datum_axis2,right_hip_yaw_engine_joint,revolute,-0.084333,2.46E-05,0,0,0,0,base_link,0,1,0,100,1,-3.14,3.14,,,,,,,,
right_hip_roll_link,0.0222625122554699,-4.28350421400515E-05,-2.24420624569832E-05,0,0,0,0.00398432706561057,1.88235287338231E-07,2.1552063298453E-14,-1.42365151023063E-13,5.49391206748978E-07,1.59954822662213E-10,5.05938324031621E-07,0,0,0,0,0,0,package://robot_description/meshes/right_hip_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_roll_link.STL,,臀部装配-1/基座装配-1/20_万向节-3/装配体1^20_万向节-1/同步轴棒5_60-1;臀部装配-1/基座装配-1/20_万向节-3/装配体1^20_万向节-1/20_万向轴-1,right_hip_roll_joint,datum_axis1,right_hip_roll_joint,revolute,-0.084333,2.46E-05,0,0,0,0,base_link,1,0,0,100,1,-3.14,3.14,,,,,,,,
right_hip_cube_link,-7.58236988473993E-09,-8.10037224742346E-14,8.6035271838651E-15,0,0,0,0.000245876972106248,4.25015788197772E-09,3.10894475768081E-24,-5.60964659632742E-25,2.40441818298092E-09,2.14603999890957E-15,2.40441192528711E-09,0,0,0,0,0,0,package://robot_description/meshes/right_hip_cube_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_cube_link.STL,,臀部装配-1/基座装配-1/20_万向节-3/10_万向轴十字-1,right_hip_cube_joint,datum_axis3,right_hip_cube_joint,revolute,0,0,0,0,0,0,right_hip_roll_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_thigh_link,-0.0353507257648988,-0.247894844440165,0.00178440950269929,0,0,0,0.807844023825405,0.00262872199337436,0.000322284655114814,-6.13684271429916E-05,0.00181775503594599,0.000137456961428372,0.00258154933740886,0,0,0,0,0,0,package://robot_description/meshes/right_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_thigh_link.STL,,臀部装配-1/基座装配-1/20_万向节-3/装配体1^20_万向节-2/20_万向轴-1;大腿装配-1/同步轴棒5_60-1;大腿装配-1/股骨-1;大腿装配-1/10-20铝型材-1;大腿装配-1/arx大腿装配-11-27-1/arx大腿上11-14-1;大腿装配-1/arx大腿装配-11-27-1/arx大腿上b-11-25-1;大腿装配-1/arx大腿装配-11-27-1/arx大腿中11-14-1;大腿装配-1/arx大腿装配-11-27-1/arx-膝盖11-14-1;大腿装配-1/股骨2-1;大腿装配-1/arx髌骨-11-18-1,right_thigh_joint,datum_axis2,right_thigh_joint,revolute,0,0,0,0,0,0,right_hip_cube_link,0,1,0,100,1,-3.14,3.14,,,,,,,,
right_shin_link,0.00524376700949104,-0.205627168869245,0.00732812606870403,0,0,0,0.364323955321575,0.00132460554133456,-1.48476057216079E-06,-3.28201858976119E-07,0.000315850437296788,7.27055941848168E-05,0.00134334443677415,0,0,0,0,0,0,package://robot_description/meshes/right_shin_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/right_shin_link.STL,,踝关节配体-1/踝关节驱动端-1/脚踝_腕_头-1;踝关节配体-1/5-11-12-24_万向节-1/5-11-12-24_单节-2/同步轴棒5_60-1;踝关节配体-1/踝关节驱动端-1/踝关节座-1;踝关节配体-1/5-11-12-24_万向节-1/5-11-12-24_单节-2/5-11-12-24_万向轴-1;小腿_骨架_装配-1/10-20铝型材 小腿本-1;小腿_骨架_装配-1/膝关节-1;小腿_骨架_装配-1/arx-小腿装配-11-27-1/arx-小腿2-11-17-1;小腿_骨架_装配-1/arx-小腿装配-11-27-1/arx-小腿1-11-17-1;小腿_骨架_装配-1/arx-小腿装配-11-27-1/arx-小腿3-11-17-1;小腿_骨架_装配-1/arx-小腿装配-11-27-1/arx-小腿3a-11-26-1,right_knee_joint,datum_axis4,right_knee_joint,revolute,-0.0324938548812839,-0.429595785329822,-0.011499999999998,0,0,0,right_thigh_link,-1,0,0,100,1,-3.14,3.14,,,,,,,,
right_ankle_1_3_link,-6.03425108214317E-08,-0.00133748853041993,0.000181477957767302,0,0,0,0.00262097004680966,8.99652249736952E-08,2.36331351065569E-17,-2.11782435234631E-16,9.24849140747278E-08,-1.78782548164191E-10,1.40840739837435E-07,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_1_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_1_3_link.STL,,踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/拨片_自旋_线驱-1;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/3ml螺丝20-3;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/3ml螺丝14-1;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/轴承3-6-2-3;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/轴承3-6-2-2,right_ankle_1_3_joint,datum_axis11,right_ankle_1_3_joint,revolute,0.00499998365963887,-0.435500013525673,0.00299999395255281,0,0,0,right_shin_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_ankle_1_3_cube_link,1.63396522423476E-08,-0.0170076971502238,1.27962296526257E-07,0,0,0,0.00141938195347877,2.85047557512365E-08,1.23379661362193E-15,1.97863769928964E-13,3.24387028605849E-08,6.23241857794277E-14,3.91865632006432E-08,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_1_3_cube_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_1_3_cube_link.STL,,踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/拨片_直驱-1;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/轴承3-6-2.5-1;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/轴承3-6-2.5-2;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/3ml螺丝10-4;踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/3ml螺丝10-5,right_ankle_1_3_cube_joint,datum_axis12,right_ankle_1_3_cube_joint,revolute,0,0,0,0,0,0,right_ankle_1_3_link,0,-1,0,100,1,-3.14,3.14,,,,,,,,
right_ankle_1_3_page_link,-0.000120807831869477,-0.0207078096816944,4.90926743701436E-16,0,0,0,0.00310095806973402,6.607387135913E-07,-1.12233481706802E-09,1.70217018730304E-13,1.0799072162633E-07,-2.85559813915869E-21,6.98721337032829E-07,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_1_3_page_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_1_3_page_link.STL,,踝关节配体-1/踝关节驱动端-1/踝关节_合页体-2/拨片端_直驱_踝-1,right_ankle_1_3_page_joint,datum_axis13,right_ankle_1_3_page_joint,revolute,0,-0.0199999864743267,0,0,0,0,right_ankle_1_3_cube_link,-1,0,0,100,1,-3.14,3.14,,,,,,,,
